5384788136937724|06|2029|456
5337472357395155|06|2029|456
5232451243134412|06|2029|456
52464973529487410|06|2029|456
5196547841542338|06|2029|456
5285991441881286|06|2029|456
5219934143182695|06|2029|456
5422149535642452|06|2029|456
5114644445256511|06|2029|456
5121956928152194|06|2029|456
5549354344716533|01|2028|959
5444671444714787|01|2028|959
5273771132373528|10|2028|411
5154661676142849|10|2028|411
5273753943563158|06|2027|302
5273734431436941|06|2027|302
52737534169597510|05|2029|334
5273753289395256|05|2029|334
5273754765415337|08|2027|625
5273755464425311|08|2027|625
